Year,BWA_education,BWA_life_expectancy,KEN_education,KEN_life_expectancy,NAM_education,NAM_life_expectancy,ZAF_education,ZAF_life_expectancy,ZWE_education,ZWE_life_expectancy,BWA_FAO_CP_23012,BWA_FAO_CP_23013,BWA_FAO_CP_23014,KEN_FAO_CP_23012,KEN_FAO_CP_23013,KEN_FAO_CP_23014,NAM_FAO_CP_23012,NAM_FAO_CP_23013,NAM_FAO_CP_23014,ZAF_FAO_CP_23012,ZAF_FAO_CP_23013,ZAF_FAO_CP_23014,ZWE_FAO_CP_23012,ZWE_FAO_CP_23013,ZWE_FAO_CP_23014
2001,7.486780167,52.21,2.882999897,56.501,7.402699947,51.98,,57.161,,44.525,35.31297791666667,33.63255175,2.7293594166666666,26.821071416666665,23.00570491666667,7.878677,41.23945941666667,35.20802291666667,9.424651416666666,48.68014441666667,37.24631708333333,5.37180975,90.41964175,92.06958991666666,1.8662124166666665
2002,7.803410053,52.373,2.876719952,56.759,6.050169945,51.988,,55.58,,45.938,38.14959758333333,36.53846983333333,8.618514166666666,27.347115083333335,23.606976333333336,2.6021758333333334,48.54544016666667,40.52409016666667,15.0360905,53.30218475,43.724882083333334,17.33448625,91.27204116666667,93.75627833333333,1.8320222499999999
2003,9.079600334,52.851,,57.369,6.391029835,51.918,,54.245,,45.373,41.65550841666667,40.04040066666666,9.632258333333333,30.0314235,26.71948433333333,13.191143416666668,52.00971691666667,44.191890916666665,9.301029916666666,56.32944191666667,47.29478483333333,8.426041333333334,92.12444083333334,95.44296666666666,1.79906175
2004,9.568779945,53.573,2.962670088,57.947,,52.175,,53.963,,46.043,44.548776833333335,41.916756416666665,4.6934466666666665,33.52228683333333,30.979831,15.948863000000001,54.161167750000004,44.6233755,0.9785165,55.93961983333333,47.96848741666667,1.4256932500000001,92.97684033333333,97.12965508333333,1.7672669166666666
2005,9.230779648,54.386,3.000999928,58.51,7.107049942,52.557,,53.914,,46.57,48.384526666666666,44.171826333333335,5.363876083333333,36.97936608333333,35.08685033333334,13.693719000000002,55.397096250000004,45.213939583333335,1.32647375,57.093572083333335,48.778460833333334,1.6899380833333335,93.82923991666667,98.81634341666667,1.7365761666666666
2006,10.06980991,55.112,,59.059,6.752779961,53.183,,54.22,,47.056,53.97546458333333,49.68039383333333,12.507787333333333,42.32426541666667,37.91274825,8.095282083333332,58.145438750000004,48.15102758333333,6.484151,58.94563483333334,51.68396725,5.949541166666666,94.6816395,100.50303175,1.7069333333333334
2007,10.22327995,56.735,,59.407,,54.026,,54.948,,47.576,57.797466500000006,55.30946125,11.277241916666666,46.45463966666667,40.07277316666667,5.680107083333333,61.95273325,53.886917583333336,11.880674333333333,62.58718533333333,56.850285250000006,9.955820083333334,95.53403908333333,102.18972016666667,1.6782853333333332
2008,14.26593971,57.661,,59.955,9.493689537,54.74,,55.982,,48.456,65.1390095,66.49873925,20.136788,58.644251999999994,48.284627416666666,20.467774833333333,67.58711316666667,62.932095,16.754456666666666,68.78956583333333,65.74271675,15.615293833333332,96.38643858333334,103.87640849999998,1.6505832500000002
2009,21.9871006,58.297,3.992300034,60.483,,55.347,,57.413,,49.75,70.36791141666667,76.00962525,14.692717,64.05984675,54.95608241666667,13.9729555,73.97526225,69.56200416666667,10.68608725,73.76862025,71.898222,9.570964416666667,91.39096725,92.995292,-10.456386
2010,19.53989029,59.137,,60.915,,56.093,,58.886,6.945772014,51.925,75.25763933333333,78.77509841666667,3.6383995000000002,66.597128,58.13063708333333,5.789816833333333,77.581497,71.76619441666666,3.1899189999999997,76.76915558333333,72.76215266666667,1.2031810833333332,94.15341466666666,96.54104008333333,4.138334166666667
