Date,BDI_Close,BDI_High,BDI_Low
2000-01-04,1320,1320,1320
2000-01-05,1329,1329,1329
2000-01-06,1351,1351,1351
2000-01-07,1368,1368,1368
2000-01-10,1376,1376,1376
2000-01-11,1388,1388,1388
2000-01-12,1396,1396,1396
2000-01-13,1403,1403,1403
2000-01-14,1404,1404,1404
2000-01-17,1406,1406,1406
2000-01-18,1405,1405,1405
2000-01-19,1400,1400,1400
2000-01-20,1393,1393,1393
2000-01-21,1384,1384,1384
2000-01-24,1378,1378,1378
2000-01-25,1368,1368,1368
2000-01-26,1354,1354,1354
2000-01-27,1340,1340,1340
2000-01-28,1329,1329,1329
2000-01-31,1319,1319,1319
2000-02-01,1311,1311,1311
2000-02-02,1296,1296,1296
2000-02-03,1286,1286,1286
2000-02-04,1280,1280,1280
2000-02-07,1276,1276,1276
2000-02-08,1277,1277,1277
2000-02-09,1293,1293,1293
2000-02-10,1317,1317,1317
2000-02-11,1345,1345,1345
2000-02-14,1365,1365,1365
2000-02-15,1393,1393,1393
2000-02-16,1419,1419,1419
2000-02-17,1438,1438,1438
2000-02-18,1454,1454,1454
2000-02-21,1466,1466,1466
2000-02-22,1481,1481,1481
2000-02-23,1491,1491,1491
2000-02-24,1501,1501,1501
2000-02-25,1511,1511,1511
2000-02-28,1521,1521,1521
2000-02-29,1531,1531,1531
2000-03-01,1547,1547,1547
2000-03-02,1561,1561,1561
2000-03-03,1578,1578,1578
2000-03-06,1588,1588,1588
2000-03-07,1602,1602,1602
2000-03-08,1618,1618,1618
2000-03-09,1634,1634,1634
2000-03-10,1645,1645,1645
2000-03-13,1649,1649,1649
2000-03-14,1645,1645,1645
2000-03-15,1640,1640,1640
2000-03-16,1633,1633,1633
2000-03-17,1630,1630,1630
2000-03-20,1628,1628,1628
2000-03-21,1624,1624,1624
2000-03-22,1620,1620,1620
2000-03-23,1617,1617,1617
2000-03-24,1618,1618,1618
2000-03-27,1623,1623,1623
2000-03-28,1627,1627,1627
2000-03-29,1638,1638,1638
2000-03-30,1651,1651,1651
2000-03-31,1660,1660,1660
2000-04-03,1669,1669,1669
2000-04-04,1676,1676,1676
2000-04-05,1679,1679,1679
2000-04-06,1682,1682,1682
2000-04-07,1684,1684,1684
2000-04-10,1686,1686,1686
2000-04-11,1684,1684,1684
2000-04-12,1681,1681,1681
2000-04-13,1679,1679,1679
