Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,81.19000244,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.21,52.373,52.851,53.573,54.386,55.112,56.735,57.661,58.297,59.137,59.715,60.384,61.217,62.167,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,69.293,..
Botswana,BWA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,7.486780167,7.803410053,9.079600334,9.568779945,9.230779648,10.06980991,10.22327995,14.26593971,21.9871006,19.53989029,17.51345062,21.66636086,26.33709908,24.83556485,26.86929255,22.66058553,21.47628852,..,21.49654802,22.40178705,21.2032905,20.70956137,20.56582325,21.40879085,..
Botswana,BWA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,55.044,..,53.5,..,..,58.852,..,..,62.186,59.126,58.678,..,69.58,..,..,..,..,..,63.895,66.288,64.18,64.604,67.828,69.055,..
Botswana,BWA,"Labor force, total",SL.TLF.TOTL.IN,627315,647894,667858,688033,708319,728696,758634,789289,820510,802345,828613,849151,865462,882070,899557,918682,939892,962977,987878,973488,1036012,1065472,1146757,1173288,1199393
Botswana,BWA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,93.95999908,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.501,56.759,57.369,57.947,58.51,59.059,59.407,59.955,60.483,60.915,61.283,61.537,61.729,61.99,62.279,62.526,62.725,62.825,62.939,61.596,61.225,63.549,63.646,63.834,..
Kenya,KEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2.882999897,2.876719952,..,2.962670088,3.000999928,..,..,..,3.992300034,..,..,..,..,..,9.253194962,11.63478833,11.80492321,..,10.49755955,..,..,..,8.676767301,10.41859625,..
Kenya,KEN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,63.257,..,..,..,76.521,..,..,..,..,..,..,74.405,..,..,67.803,..,68.698,..,..,..,..
